Episode,Total_Reward,Success_Count,Blocking_Rate,Resource_Utilization
387,-10,0,1.00,0.98
388,-10,0,1.00,0.98
389,-10,0,1.00,0.98
390,-10,0,1.00,0.98
391,-10,0,1.00,0.98
392,-10,0,1.00,0.98
393,-10,0,1.00,0.98
394,-10,0,1.00,0.98
395,-10,0,1.00,0.98
396,-10,0,1.00,0.98
397,-10,0,1.00,0.98
398,-10,0,1.00,0.98
399,-10,0,1.00,0.98
400,-10,0,1.00,0.98
401,-10,0,1.00,0.98
402,-10,0,1.00,0.98
403,-10,0,1.00,0.98
404,-10,0,1.00,0.98
405,-10,0,1.00,0.98
406,-10,0,1.00,0.98
407,-10,0,1.00,0.98
408,-10,0,1.00,0.98
409,-10,0,1.00,0.98
410,-10,0,1.00,0.98
411,-10,0,1.00,0.98
412,-10,0,1.00,0.98
413,-10,0,1.00,0.98
414,-10,0,1.00,0.98
415,-10,0,1.00,0.98
416,-10,0,1.00,0.98
417,-10,0,1.00,0.98
418,-10,0,1.00,0.98
419,-10,0,1.00,0.98
420,-10,0,1.00,0.98
421,-10,0,1.00,0.98
422,-10,0,1.00,0.98
423,-10,0,1.00,0.98
424,-10,0,1.00,0.98
425,-10,0,1.00,0.98
426,-10,0,1.00,0.98
427,-10,0,1.00,0.98
428,-10,0,1.00,0.98
429,-10,0,1.00,0.98
430,-10,0,1.00,0.98
431,-10,0,1.00,0.98
432,-10,0,1.00,0.98
433,-10,0,1.00,0.98
434,-10,0,1.00,0.98
435,-10,0,1.00,0.98
436,-10,0,1.00,0.98
437,-10,0,1.00,0.98
438,-10,0,1.00,0.98
439,-10,0,1.00,0.98
440,-10,0,1.00,0.98
441,-10,0,1.00,0.98
442,-10,0,1.00,0.98
443,-10,0,1.00,0.98
444,-10,0,1.00,0.98
445,-10,0,1.00,0.98
446,-10,0,1.00,0.98
447,-10,0,1.00,0.98
448,-10,0,1.00,0.98
449,-10,0,1.00,0.98
450,-10,0,1.00,0.98
451,-10,0,1.00,0.98
452,-10,0,1.00,0.98
453,-10,0,1.00,0.98
454,-10,0,1.00,0.98
455,-10,0,1.00,0.98
456,-10,0,1.00,0.98
457,-10,0,1.00,0.98
458,-10,0,1.00,0.98
459,-10,0,1.00,0.98
460,-10,0,1.00,0.98
461,-10,0,1.00,0.98
462,-10,0,1.00,0.98
463,-10,0,1.00,0.98
464,-10,0,1.00,0.98
465,-10,0,1.00,0.98
466,-10,0,1.00,0.98
467,-10,0,1.00,0.98
468,-10,0,1.00,0.98
469,-10,0,1.00,0.98
470,-10,0,1.00,0.98
471,-10,0,1.00,0.98
472,-10,0,1.00,0.98
473,-10,0,1.00,0.98
474,-10,0,1.00,0.98
475,-10,0,1.00,0.98
476,-10,0,1.00,0.98
477,-10,0,1.00,0.98
478,-10,0,1.00,0.98
479,-10,0,1.00,0.98
480,-10,0,1.00,0.98
481,-10,0,1.00,0.98
482,-10,0,1.00,0.98
483,-10,0,1.00,0.98
484,-10,0,1.00,0.98
485,-10,0,1.00,0.98
486,-10,0,1.00,0.98
487,-10,0,1.00,0.98
488,-10,0,1.00,0.98
489,-10,0,1.00,0.98
490,-10,0,1.00,0.98
491,-10,0,1.00,0.98
492,-10,0,1.00,0.98
493,-10,0,1.00,0.98
494,-10,0,1.00,0.98
495,-10,0,1.00,0.98
496,-10,0,1.00,0.98
497,-10,0,1.00,0.98
498,-10,0,1.00,0.98
499,-10,0,1.00,0.98
500,-10,0,1.00,0.98
501,-10,0,1.00,0.98
502,-10,0,1.00,0.98
503,-10,0,1.00,0.98
504,-10,0,1.00,0.98
505,-10,0,1.00,0.98
506,-10,0,1.00,0.98
507,-10,0,1.00,0.98
508,-10,0,1.00,0.98
509,-10,0,1.00,0.98
510,-10,0,1.00,0.98
511,-10,0,1.00,0.98
512,-10,0,1.00,0.98
513,-10,0,1.00,0.98
514,-10,0,1.00,0.98
515,-10,0,1.00,0.98
516,-10,0,1.00,0.98
517,-10,0,1.00,0.98
518,-10,0,1.00,0.98
519,-10,0,1.00,0.98
520,-10,0,1.00,0.98
521,-10,0,1.00,0.98
522,-10,0,1.00,0.98
523,-10,0,1.00,0.98
524,-10,0,1.00,0.98
525,-10,0,1.00,0.98
526,-10,0,1.00,0.98
527,-10,0,1.00,0.98
528,-10,0,1.00,0.98
529,-10,0,1.00,0.98
530,-10,0,1.00,0.98
531,-10,0,1.00,0.98
